latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.48145,125.75169,323.43,1.04,1.02,2023/6/9,126,T,77,6.1NRT,297.53,15.08,D
-19.40106,132.24626,311.87,1.81,1.32,2023/6/9,126,T,31,6.1NRT,285.85,14.52,D
-19.403,132.26326,319.4,1.81,1.32,2023/6/9,126,T,71,6.1NRT,285.65,27.7,D
-19.40493,132.28026,331.19,1.82,1.32,2023/6/9,126,T,86,6.1NRT,285.92,58.93,D
-19.40687,132.29736,315.24,1.82,1.32,2023/6/9,126,T,30,6.1NRT,284.52,17.72,D
-18.64382,126.15891,311.55,1.01,1.01,2023/6/9,126,T,28,6.1NRT,293.89,4.9,D
-18.64523,126.16837,318.04,1.01,1.01,2023/6/9,126,T,69,6.1NRT,293.32,10.15,D
-18.77971,125.11615,314.3,1.08,1.04,2023/6/9,126,T,54,6.1NRT,297.23,7.01,D
-19.8219,132.75056,310.53,2,1.38,2023/6/9,126,T,56,6.1NRT,295.63,13.86,D
-19.6921,129.77734,317.88,1.25,1.11,2023/6/9,126,T,72,6.1NRT,296.66,15.52,D
-19.69362,129.78905,310.59,1.25,1.11,2023/6/9,126,T,27,6.1NRT,298.16,7.4,D
-19.41565,125.58833,318.26,1.03,1.01,2023/6/9,126,T,30,6.1NRT,301.6,7.33,D
-19.42615,125.5965,318.48,1.03,1.01,2023/6/9,126,T,40,6.1NRT,301.23,8.09,D
-19.44443,125.53393,318.48,1.03,1.02,2023/6/9,126,T,70,6.1NRT,300.85,7.93,D
-19.4459,125.54362,316.55,1.03,1.02,2023/6/9,126,T,66,6.1NRT,301.2,6.05,D
-19.45616,125.61135,323.33,1.03,1.01,2023/6/9,126,T,74,6.1NRT,300.52,13.47,D
-19.45494,125.54211,316.7,1.03,1.02,2023/6/9,126,T,56,6.1NRT,299.41,5.93,D
-20.43578,132.65343,318.5,2,1.38,2023/6/9,126,T,50,6.1NRT,297.56,28.53,D
-20.44606,132.63307,321.74,2,1.38,2023/6/9,126,T,69,6.1NRT,297.83,33.71,D
-19.76649,124.93211,325.56,1.07,1.03,2023/6/9,126,T,48,6.1NRT,297.55,16.72,D
-19.78644,124.93906,337.31,1.07,1.03,2023/6/9,126,T,89,6.1NRT,297.95,34.65,D
-19.80638,124.946,328.92,1.07,1.03,2023/6/9,126,T,70,6.1NRT,296.16,22.71,D
-19.81712,124.95449,314.12,1.07,1.03,2023/6/9,126,T,0,6.1NRT,295.46,8.23,D
-19.97529,124.96644,340.72,1.07,1.03,2023/6/9,126,T,91,6.1NRT,299.5,43.32,D
-19.97684,124.97645,326.99,1.06,1.03,2023/6/9,126,T,81,6.1NRT,299.39,20.24,D
-19.98445,124.96489,362.35,1.07,1.03,2023/6/9,126,T,100,6.1NRT,296.31,95.63,D
-19.986,124.9749,400.63,1.06,1.03,2023/6/9,126,T,100,6.1NRT,303.99,274.09,D
-19.98755,124.9849,356.19,1.06,1.03,2023/6/9,126,T,98,6.1NRT,300.78,76.3,D
-19.9891,124.9949,324.46,1.06,1.03,2023/6/9,126,T,79,6.1NRT,298.48,17.03,D
-19.99681,125.04479,321.8,1.06,1.03,2023/6/9,126,T,76,6.1NRT,297.49,15.18,D
-19.99835,125.05476,342.95,1.06,1.03,2023/6/9,126,T,92,6.1NRT,299.7,46.34,D
-20.00595,125.04325,347.47,1.06,1.03,2023/6/9,126,T,94,6.1NRT,297.5,54.74,D
-20.00749,125.05321,375,1.06,1.03,2023/6/9,126,T,100,6.1NRT,302.52,137.64,D
-20.00902,125.06316,353.88,1.06,1.03,2023/6/9,126,T,97,6.1NRT,301.65,68.18,D
-20.01663,125.05167,357.32,1.06,1.03,2023/6/9,126,T,98,6.1NRT,299.43,77.88,D
-20.01816,125.06161,348.99,1.06,1.03,2023/6/9,126,T,95,6.1NRT,300.07,56.25,D
-20.02121,125.0815,319.79,1.06,1.03,2023/6/9,126,T,74,6.1NRT,298.68,11.57,D
-20.08279,125.18627,324.04,1.05,1.02,2023/6/9,126,T,78,6.1NRT,297.61,18.04,D
-20.08431,125.19612,322.52,1.05,1.02,2023/6/9,126,T,77,6.1NRT,297.97,16.29,D
-20.11631,124.86813,396.75,1.07,1.03,2023/6/9,126,T,100,6.1NRT,308.28,248.47,D
-20.11789,124.8782,383.26,1.07,1.03,2023/6/9,126,T,100,6.1NRT,309.17,171.4,D
-20.12392,124.8565,344.19,1.07,1.03,2023/6/9,126,T,92,6.1NRT,296.58,48.87,D
-20.1255,124.86657,390.88,1.07,1.03,2023/6/9,126,T,100,6.1NRT,303.99,213.74,D
-20.12707,124.87663,341.18,1.07,1.03,2023/6/9,126,T,68,6.1NRT,300.37,36.77,D
-20.1472,124.94531,320.48,1.06,1.03,2023/6/9,126,T,11,6.1NRT,299.5,10.48,D
-20.14387,124.86343,336.69,1.07,1.03,2023/6/9,126,T,37,6.1NRT,299.1,31.65,D
-20.17641,125.07327,322.35,1.05,1.02,2023/6/9,126,T,76,6.1NRT,300.04,14.4,D
-20.15619,124.88202,336.18,1.07,1.03,2023/6/9,126,T,29,6.1NRT,301.36,26.52,D
-20.16381,124.87039,359.81,1.07,1.03,2023/6/9,126,T,98,6.1NRT,297.63,82.77,D
-20.16537,124.88046,419.56,1.07,1.03,2023/6/9,126,T,100,6.1NRT,310.57,417.14,D
-20.16692,124.89051,395.97,1.07,1.03,2023/6/9,126,T,100,6.1NRT,307.79,236.36,D
-20.16848,124.90055,383.38,1.07,1.03,2023/6/9,126,T,100,6.1NRT,305.48,169.65,D
-20.17003,124.91058,366.22,1.07,1.03,2023/6/9,126,T,100,6.1NRT,304.21,101.16,D
-20.17158,124.92061,338.07,1.07,1.03,2023/6/9,126,T,89,6.1NRT,301.51,32.1,D
-20.17299,124.86883,331.87,1.07,1.03,2023/6/9,126,T,65,6.1NRT,295.68,26.72,D
-20.1792,124.90903,369.31,1.07,1.03,2023/6/9,126,T,100,6.1NRT,302.13,113.17,D
